2026-07-20 18:39:55,874 | INFO | Source profile preflight: host=maktekfuari.com status=available server_errors=0 circuit_open=False
2026-07-20 18:39:55,880 | INFO | Processing 1: 3B DİZAYN BİLGİSAYAR MAKİNA KALIP MODEL TAS. SAN. VE TİC. LTD. ŞTİ.
2026-07-20 18:39:55,881 | INFO | Processing 2: 3D TEKNO MARKET ANONIM SIRKETI
2026-07-20 18:39:55,881 | INFO | Processing 3: 5T5 MAKİNA SAN VE TİC AŞ
2026-07-20 18:39:55,883 | INFO | Processing 1 with supplied website: 3B DİZAYN BİLGİSAYAR MAKİNA KALIP MODEL TAS. SAN. VE TİC. LTD. ŞTİ. -> https://www.topsolid.com/tr
2026-07-20 18:39:55,886 | INFO | Processing 2 with supplied website: 3D TEKNO MARKET ANONIM SIRKETI -> https://www.3dteknomarket.com
2026-07-20 18:39:55,889 | INFO | Processing 3 with supplied website: 5T5 MAKİNA SAN VE TİC AŞ -> https://www.5t5makina.com
2026-07-20 18:40:04,709 | INFO | Processing 4: ABBA TEKNOLOJİ YAZILIM HİZMETLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ
2026-07-20 18:40:04,709 | INFO | Processing 4 with supplied website: ABBA TEKNOLOJİ YAZILIM HİZMETLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ -> https://www.abbateknoloji.com/
2026-07-20 18:40:04,744 | INFO | Completed 1/369: 5T5 MAKİNA SAN VE TİC AŞ
2026-07-20 18:40:13,755 | INFO | Processing 5: ABKTEKNİK İMALAT VE MÜH ÇÖZÜMLERİ LTD.ŞTİ
2026-07-20 18:40:13,779 | INFO | Processing 5 with supplied website: ABKTEKNİK İMALAT VE MÜH ÇÖZÜMLERİ LTD.ŞTİ -> https://www.abkteknik.com/
2026-07-20 18:40:13,800 | INFO | Completed 2/369: 3B DİZAYN BİLGİSAYAR MAKİNA KALIP MODEL TAS. SAN. VE TİC. LTD. ŞTİ.
2026-07-20 18:40:16,217 | INFO | Processing 6: ABM MAKİNE SAN. VE TİC. A.Ş.
2026-07-20 18:40:16,218 | INFO | Processing 6 with supplied website: ABM MAKİNE SAN. VE TİC. A.Ş. -> https://www.abmgrinding.com/en
